Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259
Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158,0,2158,0.585,615,12,0.714,0
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664,2037,627,0.85,1286,29,0.933,0.765
Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,895,814,1.656,1673,32,0.882,0.524
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62
Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862,0,1862,0.883,1226,34,0.789,0
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,706,788,1.674,1305,24,3,0.473
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926,0,2926,0.676,1304,24,0.846,0
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393,1985,408,0.788,978,16,0.778,0.83
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246
Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,0,2732,0.76,739,16,0.455,0
Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250,2117,133,1.162,1617,31,2.875,0.941
Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405,1540,865,0.469,1087,29,1.231,0.64
Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154,930,1224,2.121,1439,26,1.364,0.432
Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195,1954,1241,0.971,1285,29,0.706,0.612
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852,1024,1828,1.009,1651,28,1,0.359
Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,3,4224,1305,2919,0.852,1152,31,0.824,0.309
Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482,2114,1368,0.508,1039,24,0.263,0.607
Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065,1570,1495,1.077,1130,28,1.333,0.512
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185,1761,424,0.682,1645,30,0.429,0.806
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611,746,865,0.993,1413,29,0.706,0.463
Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77
Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212,0,3212,0.713,757,20,0.25,0
Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006,2517,489,2.053,1661,32,1,0.837
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356,985,2371,0.35,999,28,0.556,0.294
Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890,2001,889,1.334,1860,36,1,0.692
Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380,1701,1679,0.747,1502,25,1.273,0.503
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449,1598,1851,0.971,1679,42,0.556,0.463
Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288,866,4422,0.869,1777,42,0.75,0.164
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619,1779,840,1.259,1450,37,0.947,0.679
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2,2377,1649,728,0.93,1378,26,1.167,0.694
Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,3,2,3,2571,1955,616,0.531,1234,24,0.714,0.76
Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,2,1,3,1857,1603,254,0.579,1590,43,1.263,0.863
Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1,0,1913,1272,641,1.008,1448,22,1,0.665
Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3,0,3839,2295,1544,0.569,1271,24,0.714,0.598
Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2,3,2115,1141,974,0.616,1223,20,0.538,0.539
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106,1304,1802,0.604,1368,38,0.407,0.42
Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,2,5207,1748,3459,1.073,1310,26,1,0.336
Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,6,3,3,2733,1819,914,0.767,933,25,0.923,0.666
Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857,1833,24,0.723,829,17,0.7,0.987
Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,2,3,3,2859,2517,342,0.993,817,30,0.667,0.88
Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2,2,5269,1475,3794,1.148,2094,25,0.667,0.28
Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,3,2,3387,0,3387,0.789,510,24,0.6,0
Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,2,3,1982,1289,693,0.939,1377,49,0.69,0.65
Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,2,4645,1650,2995,0.912,1193,33,0.65,0.355
Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,3,2,2189,1666,523,0.343,1287,36,0.636,0.761
Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442,0,2442,0.98,701,19,0.727,0
Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1,2,3234,1486,1748,0.868,1354,28,0.647,0.459
Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,5,3,2,4469,1125,3344,1.363,1765,34,1.615,0.252
Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,6,3,4,2910,709,2201,0.538,1192,27,0.588,0.244
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616,1054,2562,0.616,687,17,0.545,0.291
Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3,2,3,3252,1495,1757,0.581,1227,15,0.875,0.46
Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,4,3,3,2358,1152,1206,0.969,1737,26,1.6,0.489
Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,2,3133,1510,1623,0.609,1435,38,0.462,0.482
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,3,0,3540,849,2691,0.456,1321,28,0.75,0.24
Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36,2,3,2,2474,2143,331,1.53,1541,40,1,0.866
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5,1,3,5214,795,4419,0.707,1258,23,1.3,0.152
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2,2,5207,1650,3557,0.708,1339,20,0.538,0.317
Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,6,3,2,3187,2430,757,0.617,1387,33,1.357,0.762
Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353,0,3353,1.021,960,18,0.385,0
Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,3,3,2290,1434,856,0.923,1119,18,3.5,0.626
Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,43,6,1,3,5279,1115,4164,0.549,1642,41,0.519,0.211
Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,6,2,2,2601,0,2601,0.814,1232,32,0.684,0
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,2,2,2410,1769,641,0.759,1217,30,1.143,0.734
Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,2,3401,0,3401,0.898,744,18,1,0
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4,2,0,2260,1007,1253,0.84,1614,33,0.737,0.446
Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,3,1,3,4206,1100,3106,0.587,1144,22,1,0.262
Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52,3,1,2,2939,1999,940,2.145,2434,33,1.538,0.68
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342,2517,825,0.771,1139,30,0.765,0.753
Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40,6,2,2,2532,2221,311,0.491,799,21,0.235,0.877
Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46,2,2,3,1900,1376,524,0.89,1881,45,0.607,0.724
Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36,2,3,2,2521,1608,913,0.587,1328,33,0.571,0.638
Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,5,1,3,3281,837,2444,1.859,1424,29,1.417,0.255
Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,5,3,2,3096,2217,879,0.799,2011,41,0.783,0.716
Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,5,2,3,2052,1250,802,0.728,1208,31,0.632,0.609
Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,3,2,2221,1343,878,0.869,1338,30,1.308,0.605
Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,36,2,2,2,5007,930,4077,0.885,1050,28,1.154,0.186
Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54,3,2,0,1616,1047,569,0.984,1389,33,1.2,0.648
Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,47,5,6,2,2759,2223,536,1.32,2093,42,1,0.806
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,43,5,3,2,5264,2169,3095,0.374,1219,27,0.5,0.412
Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,54,4,2,1,2420,1912,508,1.256,1730,36,0.565,0.79
Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,43,4,2,0,2826,2070,756,0.541,1025,28,0.647,0.732
Existing Customer,55,F,2,Uneducated,Married,Unknown,Blue,35,3,3,0,3025,2376,649,1.252,1277,23,1.875,0.785
Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,26,4,3,3,3265,2517,748,0.952,1843,35,0.944,0.771
Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue,36,3,3,2,2293,1823,470,0.617,1166,22,1.444,0.795
Existing Customer,46,F,3,Unknown,Married,Less than $40K,Blue,38,4,3,3,4317,2517,1800,0.944,1619,36,1,0.583
Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue,29,5,2,0,3378,1069,2309,0.581,1285,16,0.333,0.316
Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,36,4,1,3,5012,2242,2770,0.816,1142,28,1,0.447
Existing Customer,38,F,4,Uneducated,Single,Less than $40K,Blue,30,4,1,0,2569,1605,964,0.574,1190,46,0.643,0.625
Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,45,3,1,2,3471,1785,1686,1.051,1052,24,0.714,0.514
Existing Customer,53,M,1,High School,Married,$120K +,Blue,36,6,3,2,3312,1844,1468,0.986,1740,32,0.882,0.557
Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue,38,4,3,3,2578,2462,116,1.707,1378,29,0.812,0.955
Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue,44,4,3,2,2902,2517,385,0.821,996,26,0.444,0.867
Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,39,3,2,1,2742,2321,421,1.315,1389,32,0.6,0.846
Existing Customer,62,M,1,High School,Married,Less than $40K,Blue,53,5,3,3,2077,1571,506,1.031,1365,38,1,0.756
Existing Customer,52,M,3,Graduate,Single,$80K - $120K,Blue,42,6,3,3,2731,1692,1039,0.62,1220,22,0.692,0.62
Existing Customer,58,F,3,High School,Married,Less than $40K,Blue,47,6,1,0,2609,2439,170,1.269,1731,34,1.833,0.935
Existing Customer,62,F,0,Uneducated,Married,Less than $40K,Blue,50,5,1,2,3791,1648,2143,1.227,2058,34,0.789,0.435
Existing Customer,54,M,2,Graduate,Married,Less than $40K,Blue,39,4,4,2,2702,2517,185,1.019,1658,32,1.462,0.932
Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue,35,3,1,3,2555,2117,438,1.049,1334,32,0.6,0.829
Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue,26,5,3,2,2355,1090,1265,0.751,1441,29,0.812,0.463
Existing Customer,55,M,1,Uneducated,Single,$40K - $60K,Blue,49,6,3,2,1443,1375,68,0.683,1991,38,0.583,0.953
Existing Customer,40,M,2,Graduate,Single,$80K - $120K,Blue,24,5,1,0,2478,2031,447,1.284,1558,31,0.938,0.82
Existing Customer,50,F,2,Graduate,Married,$40K - $60K,Blue,44,6,2,3,2339,1440,899,0.431,893,22,0.375,0.616
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,36,6,3,2,2726,0,2726,0.844,1099,27,0.588,0
Existing Customer,36,F,4,Graduate,Married,$40K - $60K,Blue,36,6,3,3,1628,969,659,0.999,1893,15,2.75,0.595
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,34,5,2,2,3156,1644,1512,1.052,1151,31,1.385,0.521
Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue,41,5,3,0,4745,1270,3475,0.93,1519,31,0.938,0.268
Existing Customer,40,F,4,Graduate,Single,Less than $40K,Blue,27,6,2,3,3751,1521,2230,0.974,1060,30,1.308,0.405
Existing Customer,54,F,4,High School,Married,Less than $40K,Blue,36,3,5,3,1594,1411,183,0.817,1459,35,1.188,0.885
Existing Customer,55,F,1,High School,Single,Less than $40K,Blue,43,4,2,0,2569,1403,1166,0.886,1456,39,0.444,0.546
Existing Customer,45,M,4,High School,Married,$40K - $60K,Blue,34,6,3,3,3104,1766,1338,0.828,1353,24,1.182,0.569
Existing Customer,49,M,3,Graduate,Married,$40K - $60K,Blue,41,5,3,2,2406,1560,846,0.751,1173,32,0.391,0.648
Existing Customer,37,M,4,Graduate,Married,$80K - $120K,Blue,26,6,2,3,2846,1818,1028,0.711,1473,37,1.176,0.639
Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,48,6,3,2,2324,1576,748,0.728,1272,37,1.312,0.678
Existing Customer,64,M,0,Unknown,Married,Less than $40K,Blue,56,6,1,0,2215,1915,300,0.794,1270,27,0.588,0.865
Existing Customer,54,F,2,Graduate,Married,Less than $40K,Blue,44,3,2,3,2027,1480,547,0.979,1702,37,0.947,0.73
Existing Customer,39,F,3,College,Single,Less than $40K,Blue,25,6,1,2,3920,2008,1912,0.944,3178,53,0.656,0.512
Existing Customer,59,F,1,Post-Graduate,Married,$40K - $60K,Blue,46,5,3,3,1944,1346,598,1.052,1960,57,0.727,0.692
Existing Customer,55,M,0,High School,Married,$120K +,Blue,49,5,3,3,3805,2233,1572,1.095,1743,27,0.929,0.587
Existing Customer,52,M,1,Uneducated,Single,$80K - $120K,Blue,37,5,2,2,2733,1306,1427,0.791,1139,39,0.444,0.478
Attrited Customer,57,M,2,Uneducated,Married,$120K +,Blue,40,3,3,3,3106,1120,1986,1.045,683,17,0.7,0.361
Existing Customer,67,M,1,Uneducated,Married,$40K - $60K,Blue,49,4,3,2,3106,1675,1431,0.781,1512,38,0.407,0.539
Existing Customer,39,M,1,Graduate,Married,$60K - $80K,Blue,31,4,1,1,2536,913,1623,1.059,1750,35,1.333,0.36
Existing Customer,55,F,2,Unknown,Married,Less than $40K,Blue,37,3,3,1,2453,968,1485,1.081,2218,50,0.613,0.395
Attrited Customer,42,F,2,Graduate,Married,Less than $40K,Blue,23,3,3,3,1929,1673,256,0.835,857,36,1.118,0.867
Existing Customer,57,M,2,Unknown,Single,$80K - $120K,Blue,36,3,3,2,3127,2517,610,0.589,1470,30,1.143,0.805
Attrited Customer,49,F,3,Graduate,Married,Less than $40K,Blue,38,6,3,2,2185,0,2185,0.727,715,20,0.818,0
Existing Customer,63,M,0,High School,Married,$60K - $80K,Blue,36,6,2,3,2567,0,2567,1.636,2399,43,0.955,0
Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Blue,33,6,3,3,4131,785,3346,0.543,906,22,1.2,0.19
Attrited Customer,58,F,4,Unknown,Married,Less than $40K,Blue,46,2,3,3,2536,0,2536,0.917,901,35,0.522,0
Existing Customer,47,F,4,Unknown,Divorced,$40K - $60K,Blue,34,6,1,2,3502,1851,1651,2.023,1814,31,0.722,0.529
Existing Customer,50,F,2,College,Divorced,Less than $40K,Blue,36,3,3,0,1491,0,1491,0.876,1058,34,0.889,0
Existing Customer,46,F,2,Graduate,Married,$40K - $60K,Blue,22,6,1,3,2305,1627,678,0.747,1230,36,0.565,0.706
Existing Customer,36,F,2,Unknown,Married,$40K - $60K,Blue,25,3,1,2,4789,1257,3532,1.134,1534,29,0.933,0.262
Existing Customer,48,M,1,Unknown,Divorced,$80K - $120K,Blue,36,3,1,0,3131,2517,614,0.602,1439,40,0.481,0.804
Existing Customer,53,F,2,College,Married,$40K - $60K,Blue,34,6,2,1,2075,1469,606,1.322,2556,49,1.13,0.708
Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Blue,44,3,3,0,4589,0,4589,0.845,1590,37,0.37,0
Attrited Customer,52,F,1,Graduate,Single,Less than $40K,Blue,40,1,2,2,2317,0,2317,1.005,884,19,0.727,0
Attrited Customer,53,F,2,Uneducated,Single,Less than $40K,Blue,45,1,1,1,1981,1518,463,1.019,973,25,0.923,0.766
Attrited Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42,3,3,2,4320,0,4320,0.967,706,21,0.5,0
Attrited Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,36,1,3,3,4503,0,4503,0.659,748,20,0.429,0
Existing Customer,46,F,2,Post-Graduate,Married,Less than $40K,Blue,28,5,1,1,5014,1910,3104,0.863,1209,25,1.5,0.381
Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,47,6,1,2,3445,1074,2371,0.67,1074,31,0.632,0.312
Existing Customer,59,F,0,Graduate,Single,Less than $40K,Blue,46,4,1,2,3044,1611,1433,0.74,1456,36,0.714,0.529
Existing Customer,56,M,4,Uneducated,Single,Less than $40K,Blue,36,3,2,2,3864,1654,2210,0.491,1470,42,0.235,0.428
Attrited Customer,43,F,2,Uneducated,Single,Less than $40K,Blue,24,2,3,2,2962,2517,445,1.046,929,31,0.409,0.85
Existing Customer,61,M,1,Uneducated,Single,$60K - $80K,Blue,46,5,3,2,2201,1138,1063,0.675,1199,32,0.6,0.517
Existing Customer,37,F,0,Post-Graduate,Married,Less than $40K,Blue,25,4,3,2,2061,1483,578,1.362,2400,60,0.622,0.72
Existing Customer,56,M,3,Graduate,Married,$60K - $80K,Blue,37,3,3,0,2783,1526,1257,0.942,1909,54,0.688,0.548
Attrited Customer,52,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972,0,2972,1.035,922,25,0.562,0
Existing Customer,40,F,3,High School,Single,$40K - $60K,Blue,36,5,3,2,5124,2235,2889,0.542,1158,42,0.355,0.436
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,53,6,6,2,2880,2362,518,0.89,1323,26,0.444,0.82
Existing Customer,37,F,1,Graduate,Married,$40K - $60K,Blue,29,5,2,2,4394,885,3509,1.04,1377,32,0.684,0.201
Existing Customer,46,F,4,Post-Graduate,Married,Less than $40K,Blue,37,5,3,2,3773,1972,1801,0.783,1528,25,1.083,0.523
Existing Customer,48,F,3,High School,Divorced,$40K - $60K,Blue,40,4,1,2,1919,774,1145,0.965,1505,33,0.737,0.403
Existing Customer,39,F,3,College,Married,Less than $40K,Blue,36,4,2,0,2279,1529,750,1.26,1693,32,1.286,0.671
Existing Customer,57,M,1,College,Single,$40K - $60K,Blue,48,3,1,2,3539,0,3539,0.781,1336,23,0.211,0
Existing Customer,54,F,0,College,Married,Less than $40K,Blue,40,3,1,2,1638,0,1638,0.75,1885,51,0.545,0
Existing Customer,54,M,1,Graduate,Married,$60K - $80K,Blue,36,3,3,2,2947,2216,731,0.76,1744,53,0.606,0.752
Existing Customer,44,M,1,Unknown,Married,Unknown,Blue,34,6,2,0,2885,1895,990,0.387,1366,31,0.632,0.657
Existing Customer,56,F,1,College,Married,Less than $40K,Blue,36,6,2,3,2641,1257,1384,0.891,1439,39,1.053,0.476
Existing Customer,45,F,4,Graduate,Married,Unknown,Blue,35,6,3,0,2801,2043,758,0.583,1241,46,0.643,0.729
Existing Customer,56,F,5,College,Single,Less than $40K,Blue,43,4,1,0,2763,2517,246,0.938,1246,31,0.824,0.911
